*	300nm	310nm	320nm	330nm	340nm	350nm	360nm	370nm	380nm	390nm	400nm	410nm	420nm	430nm	440nm	450nm	460nm	470nm	480nm	490nm	500nm	510nm	520nm	530nm	540nm	550nm	560nm	570nm	580nm	590nm	600nm	610nm	620nm	630nm	640nm	650nm	660nm	670nm	680nm	690nm	700nm	710nm	720nm	730nm	740nm	750nm	760nm	770nm	780nm	790nm	800nm	
E6	0.0576	0.057	0.0562	0.0522	0.0513	0.0482	0.0473	0.0462	0.0476	0.0449	0.0455	0.0443	0.0445	0.0437	0.0443	0.0431	0.0428	0.0434	0.0435	0.0432	0.0421	0.0426	0.0428	0.0422	0.043	0.0421	0.042	0.0421	0.0412	0.042	0.0412	0.0415	0.0417	0.0416	0.042	0.0424	0.0421	0.0418	0.0418	0.0416	0.0419	0.0423	0.0417	0.043	0.0436	0.0439	0.0439	0.0438	0.0437	0.0438	0.0433	
E7	0.0403	0.0366	0.0359	0.0335	0.0301	0.0286	0.0281	0.0267	0.0276	0.0234	0.025	0.0238	0.0246	0.0253	0.0244	0.0247	0.024	0.0241	0.0237	0.0239	0.0238	0.0242	0.0228	0.0238	0.0237	0.0233	0.0234	0.0237	0.0232	0.023	0.0227	0.0229	0.0232	0.0234	0.023	0.0236	0.0234	0.0229	0.0228	0.0233	0.023	0.0237	0.0238	0.0246	0.0257	0.0257	0.0258	0.0257	0.025	0.0256	0.0251	
E8	0.0404	0.0368	0.0356	0.0332	0.0311	0.0298	0.0275	0.0261	0.0261	0.0252	0.0251	0.0244	0.0244	0.024	0.024	0.0239	0.0235	0.0243	0.0242	0.0246	0.0228	0.0239	0.0235	0.0227	0.0229	0.023	0.0233	0.0232	0.0233	0.0227	0.0224	0.0225	0.0231	0.023	0.0231	0.0234	0.023	0.0231	0.0232	0.0234	0.0231	0.0235	0.0236	0.0246	0.0253	0.0254	0.0258	0.0256	0.0255	0.0255	0.0254	
E9	0.0409	0.0366	0.0357	0.0326	0.0309	0.0289	0.0275	0.027	0.0264	0.0256	0.0243	0.0239	0.0234	0.024	0.0246	0.0247	0.0247	0.0235	0.0239	0.0239	0.0232	0.0228	0.0243	0.0236	0.0228	0.0227	0.0232	0.0232	0.0235	0.0228	0.0227	0.0228	0.0233	0.023	0.023	0.0231	0.0231	0.0231	0.0225	0.0233	0.0231	0.0232	0.0236	0.0249	0.0254	0.0256	0.0257	0.0254	0.0259	0.0256	0.0251	
E10	0.0398	0.0368	0.0361	0.0337	0.0314	0.0294	0.0278	0.0272	0.0272	0.0257	0.0251	0.0247	0.0247	0.0249	0.0244	0.0246	0.024	0.0235	0.0242	0.0233	0.0231	0.0238	0.0233	0.0233	0.0233	0.023	0.0232	0.0233	0.0226	0.0226	0.0227	0.0231	0.0227	0.023	0.0228	0.0233	0.023	0.0228	0.0224	0.023	0.0233	0.0235	0.0237	0.0246	0.0257	0.026	0.0259	0.0258	0.0258	0.025	0.0248	
E11	0.0899	0.0823	0.0817	0.0807	0.0797	0.0781	0.0769	0.0765	0.0763	0.0739	0.076	0.0761	0.0757	0.0756	0.0753	0.0748	0.0742	0.0736	0.0741	0.0748	0.0731	0.0734	0.0733	0.0726	0.0724	0.0718	0.0723	0.0724	0.0723	0.072	0.0715	0.0703	0.0714	0.0714	0.0712	0.0717	0.0712	0.0714	0.0708	0.0715	0.0713	0.0714	0.0711	0.0728	0.0733	0.0736	0.0737	0.0735	0.0738	0.0739	0.0732	
E12	0.0673	0.0671	0.0673	0.0627	0.0609	0.0584	0.0577	0.0564	0.0566	0.0555	0.057	0.0558	0.0542	0.0567	0.0557	0.0559	0.0567	0.0564	0.0561	0.0579	0.057	0.0567	0.0573	0.0575	0.0573	0.0571	0.0574	0.0571	0.0574	0.0578	0.0573	0.0579	0.058	0.0577	0.0577	0.0583	0.0578	0.0582	0.0577	0.0584	0.0584	0.0586	0.0591	0.0601	0.0605	0.0611	0.0613	0.0607	0.0606	0.0607	0.0605	
F1	0.0413	0.0394	0.037	0.0349	0.0326	0.0317	0.0297	0.029	0.029	0.0274	0.0282	0.0281	0.0268	0.0281	0.0278	0.0276	0.0271	0.0269	0.0271	0.0273	0.0264	0.0264	0.0263	0.0261	0.0261	0.0263	0.0261	0.0264	0.0261	0.0257	0.0258	0.0257	0.0262	0.0257	0.0262	0.0261	0.0261	0.0262	0.0254	0.026	0.0259	0.0254	0.0252	0.0252	0.0249	0.0255	0.025	0.0251	0.0254	0.0257	0.0252	
F2	0.0486	0.046	0.0436	0.0421	0.0412	0.0388	0.0368	0.0369	0.036	0.0346	0.035	0.0346	0.0342	0.0345	0.0336	0.0338	0.034	0.0339	0.0339	0.0341	0.0331	0.0334	0.0341	0.0337	0.0335	0.0335	0.033	0.0331	0.0329	0.0333	0.0333	0.0334	0.0336	0.0337	0.0336	0.0335	0.0336	0.0333	0.033	0.0335	0.0336	0.0329	0.0329	0.0325	0.0328	0.0337	0.0326	0.033	0.0327	0.0332	0.0326	
F3	0.0421	0.0385	0.0374	0.0355	0.0333	0.0313	0.0299	0.0296	0.029	0.0274	0.0283	0.0278	0.0272	0.0278	0.0276	0.0272	0.0272	0.027	0.0275	0.0269	0.0257	0.0258	0.027	0.026	0.0265	0.0258	0.0263	0.0258	0.0259	0.0256	0.0256	0.0254	0.0252	0.0262	0.0257	0.0256	0.0259	0.0259	0.0252	0.0256	0.0256	0.0252	0.0256	0.0251	0.0247	0.0254	0.025	0.0255	0.0252	0.0254	0.0254	
F4	0.0414	0.0384	0.0373	0.0349	0.0335	0.0316	0.0286	0.029	0.0291	0.0285	0.0275	0.0278	0.0281	0.0276	0.0274	0.0277	0.027	0.0269	0.0265	0.0268	0.0264	0.0267	0.0264	0.0258	0.0262	0.0259	0.0259	0.0256	0.0257	0.0256	0.0255	0.0251	0.0253	0.0262	0.0253	0.0259	0.0258	0.0258	0.0253	0.0256	0.0257	0.0256	0.0251	0.0249	0.0248	0.0255	0.0254	0.025	0.0249	0.0254	0.0252	
F5	0.042	0.0397	0.0379	0.0354	0.0332	0.032	0.0296	0.0283	0.0292	0.0278	0.0288	0.0279	0.0274	0.0273	0.0272	0.0273	0.0271	0.0266	0.027	0.0271	0.0262	0.0264	0.0267	0.0263	0.0258	0.0257	0.0257	0.0256	0.0259	0.0251	0.0256	0.0253	0.0259	0.0258	0.0259	0.0262	0.026	0.0256	0.0249	0.0258	0.0258	0.0251	0.0253	0.0255	0.0248	0.0252	0.0252	0.0251	0.0244	0.0255	0.0252	
F6	0.0419	0.0394	0.0379	0.0345	0.0339	0.0318	0.0293	0.0295	0.0292	0.0281	0.0288	0.028	0.0276	0.028	0.0278	0.0275	0.027	0.0269	0.0269	0.027	0.0265	0.0263	0.0267	0.0259	0.0262	0.026	0.026	0.0255	0.0258	0.0257	0.0256	0.0255	0.0258	0.026	0.0257	0.026	0.0262	0.0255	0.0251	0.025	0.0259	0.0254	0.0249	0.0249	0.0248	0.0254	0.0253	0.025	0.0251	0.0257	0.0252	
F7	0.0413	0.0383	0.0378	0.0358	0.0328	0.0315	0.03	0.0294	0.0286	0.0277	0.0278	0.0274	0.028	0.0276	0.0268	0.0271	0.0269	0.0264	0.0265	0.0267	0.0261	0.0267	0.0262	0.0262	0.0263	0.026	0.026	0.0256	0.0254	0.0255	0.0252	0.0255	0.0256	0.0261	0.0257	0.0258	0.0259	0.0254	0.025	0.0253	0.0253	0.025	0.0251	0.0251	0.0247	0.0254	0.0247	0.0249	0.025	0.0251	0.0248	
F8	0.0419	0.0384	0.0376	0.0353	0.0337	0.032	0.0301	0.0294	0.0289	0.0286	0.0284	0.0274	0.0275	0.0273	0.0273	0.0275	0.0271	0.0271	0.0273	0.0273	0.0257	0.0267	0.0268	0.0258	0.0258	0.0261	0.0262	0.026	0.0258	0.0256	0.0249	0.0254	0.0258	0.0261	0.0258	0.026	0.0258	0.0258	0.0254	0.0257	0.0258	0.0256	0.0253	0.0249	0.0248	0.0256	0.0253	0.0254	0.0247	0.0249	0.0255	
F9	0.0422	0.0392	0.0378	0.0349	0.0339	0.032	0.0304	0.0293	0.0292	0.0284	0.0281	0.0274	0.027	0.0274	0.0278	0.0278	0.0278	0.0269	0.0272	0.0269	0.0264	0.0262	0.0272	0.0264	0.0254	0.0258	0.026	0.0256	0.026	0.0256	0.0255	0.0257	0.0263	0.0262	0.0259	0.0259	0.0263	0.026	0.0252	0.0258	0.0257	0.0252	0.0253	0.0249	0.0248	0.0255	0.0251	0.0247	0.0247	0.0254	0.0256	
F10	0.0417	0.0392	0.0381	0.0358	0.0337	0.0321	0.0304	0.0301	0.0288	0.0284	0.0281	0.028	0.0278	0.0278	0.0275	0.0271	0.0269	0.0267	0.0271	0.0262	0.0263	0.0265	0.0265	0.0262	0.0257	0.0255	0.026	0.0255	0.0251	0.025	0.0251	0.0252	0.0255	0.026	0.0259	0.0255	0.0257	0.0256	0.0251	0.0253	0.0254	0.025	0.0251	0.0249	0.025	0.0252	0.0253	0.0251	0.0246	0.0252	0.0251	
F11	0.0417	0.0395	0.0378	0.0355	0.0341	0.0323	0.0301	0.0298	0.0292	0.0278	0.0285	0.0281	0.0276	0.028	0.0276	0.0276	0.0271	0.027	0.0271	0.0273	0.0268	0.0269	0.0269	0.0263	0.0259	0.026	0.0264	0.026	0.0258	0.0256	0.026	0.0247	0.0258	0.0265	0.0259	0.0257	0.0261	0.0261	0.0252	0.0258	0.0258	0.0253	0.0252	0.0251	0.0248	0.0254	0.0252	0.0252	0.0251	0.0255	0.0252	
F12	0.0417	0.0385	0.0372	0.0351	0.0332	0.0309	0.0307	0.029	0.029	0.0281	0.0282	0.0277	0.0268	0.0275	0.0268	0.0271	0.0268	0.0266	0.0265	0.0269	0.0261	0.0263	0.0265	0.0261	0.0259	0.0255	0.0259	0.0255	0.0254	0.0257	0.0252	0.0254	0.0259	0.0255	0.0255	0.0255	0.0256	0.0256	0.025	0.0253	0.0253	0.0251	0.0247	0.0247	0.0243	0.025	0.025	0.0254	0.0254	0.0248	0.0252	
